Official School Name,Latitude,Longitude,Enrollment
Scoil Ui Mhuiri,53.826474,-6.382968,661
Desmond College,52.455722,-9.052103,485
Colaiste Chiarain,52.529206,-8.712719,748
Hazelwood College,52.34333,-8.903389,589
St Peter's College,53.418443,-6.468897,1220
Community College Dunshaughlin,53.513972,-6.549011,1147
Coláiste Clavin,53.452482,-6.917437,479
O'Carolan College,53.817312,-6.741904,611
St Oliver Post Primary,53.772434,-7.163262,620
Coláiste Pobail Rath Cairn,53.620068,-6.860762,131
Beaufort College,53.643886,-6.683447,904
Moyne College,54.113003,-9.147821,199
St. Brendan's College,54.214873,-9.979003,362
St. Tiernan's College,54.096842,-9.315388,202
St. Patrick's College,54.229406,-9.287924,200
Colaiste Chomain,54.286091,-9.802662,35
Ballybay Community College,54.123916,-6.901571,363
Largy College,54.17959,-7.225329,488
Inver College,53.983568,-6.716104,670
Castleblayney College,54.114549,-6.732519,407
Beech Hill College,54.244522,-6.963323,874
Dungarvan College-Coláiste Dhún Garbhán,52.087248,-7.62788,242
St Declan's Community College,52.204756,-7.421445,855
St Paul's Community College,52.251807,-7.137676,729
Elphin Community College,53.844934,-8.202857,200
Roscommon Community College,53.625255,-8.199884,570
Corran College,54.091203,-8.515283,118
Coola Post Primary School,54.154045,-8.374023,530
Coláiste Iascaigh,54.28586,-8.956186,199
Grange Post Primary School,54.391623,-8.522495,263
Ballinode College,54.279088,-8.459241,254
Borrisokane Community College,53.00161,-8.118162,665
Comeragh College,52.352455,-7.387949,531
"Central Technical Institute, Clonmel",52.353753,-7.695855,285
Scoil Ruain,52.571982,-7.677031,364
Nenagh College,52.870121,-8.201893,415
Newport College,52.71487,-8.406545,339
St. Ailbe's School,52.478284,-8.156142,616
Coláiste Mhuire Co-Ed,52.68412,-7.826,542
Coláiste Naomh Cormac,53.179377,-7.720217,303
Ardscoil Chiaráin Naofa,53.34063,-7.612434,332
Oaklands Community College,53.337128,-7.062685,831
Tullamore College,53.275882,-7.486133,725
Davitt College,53.857098,-9.290321,858
Colaiste na Trocaire (Mercy Community College),52.519972,-8.93447,498
Castleknock Community College,53.371994,-6.391063,1274
Colaiste Dun Iascaigh,52.381362,-7.917704,881
Glanmire Community College,51.930854,-8.38438,1169
Coláiste Cois Life,53.349681,-6.435651,635
Meánscoil San Nioclás,52.048111,-7.575691,156
Colaiste Pobail Naomh Mhuire,52.23699,-8.677005,559
Coláiste na Sceilge,51.940196,-10.240964,585
Colaiste Phobáil Ros Cré,52.953945,-7.79,556
Coláiste Iósaef,52.404054,-8.57774,500
Abbey Community College,53.969034,-8.299163,581
Castletroy College,52.663134,-8.540898,1278
St John Bosco Community College,52.673051,-9.104573,289
Colaiste Chraobh Abhann,53.100629,-6.065358,784
Larkin Community College,53.352259,-6.257796,402
Skerries Community College,53.579186,-6.115893,1033
Coláiste Phobail Cholmcille,55.264736,-8.221238,3
Coláiste Ailigh,54.964092,-7.724989,293
Abbey Community College,52.264397,-7.098767,1011
Magh Ene College,54.475156,-8.279328,345
Moville Community College,55.187047,-7.050878,621
Gaelcholáiste Reachrann,53.400257,-6.156682,503
MARIA IMMACULATA COMMUNITY COLLEGE,51.714623,-9.115334,611
Ratoath College,53.499628,-6.458267,1158
MOHILL COMMUNITY COLLEGE,53.922804,-7.8724,498
Coláiste Pobail Bheanntraí,51.673872,-9.446545,753
Coláiste Oiriall,54.26216,-6.950597,392
PRESENTATION COMMUNITY COLLEGE,53.310964,-6.286848,459
COLÁISTE ÍDE AGUS IOSAEF,52.387459,-9.297044,644
Coláiste Mhuirlinne/Merlin College,53.282535,-8.984878,724
